"CODE";"FR";"CODE_light";"niveau";"genealogieCode";"genealogieLabel"
"30221000-4";"Plans cadastraux numériques";"30221";5;"3|302|3022";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel de cartographie numérique"
"30230000-0";"Matériel informatique";"3023";4;"3|302";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques"
"30231000-7";"Écrans et consoles d'ordinateurs";"30231";5;"3|302|3023";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique"
"30231100-8";"Terminaux informatiques";"302311";6;"3|302|3023|30231";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Écrans et consoles d'ordinateurs"
"30231200-9";"Consoles";"302312";6;"3|302|3023|30231";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Écrans et consoles d'ordinateurs"
"30231300-0";"Écrans de visualisation";"302313";6;"3|302|3023|30231";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Écrans et consoles d'ordinateurs"
"30231310-3";"Écrans plats";"3023131";7;"3|302|3023|30231|302313";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Écrans et consoles d'ordinateurs|Écrans de visualisation"
"30231320-6";"Moniteurs à écran tactile";"3023132";7;"3|302|3023|30231|302313";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Écrans et consoles d'ordinateurs|Écrans de visualisation"
"30232000-4";"Périphériques (appareils)";"30232";5;"3|302|3023";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique"
"30232100-5";"Imprimantes et traceurs";"302321";6;"3|302|3023|30232";"Machines, matériel et fourniture informatique et de bureau, excepté les meubles et logiciels|Matériel et fournitures informatiques|Matériel informatique|Périphériques (appareils)"
